company,year,e,v,e.,e..,s.,s..,i,r,p.,s,y
gs,2019,90185,0.111339731,0.096567489,-3,-0.008544532,-5,0.0191,0.0179,0.029189,209,-0.099721935
gs,2018,82243,0.051531977,-0.053514092,-29,0.330159295,-2,0.0211,0.01,0.022557,232,-0.008544532
gs,2017,86893,0.178929111,0.0019025,-0.959928447,-0.087244732,0.224373435,0.0207,0.0039,0.016675,234,0.330159295
gs,2016,86728,0.059830684,0.047477566,-0.139625372,0.109083491,-0.762032334,0.0073,0.0013,0.027064,176,-0.087244732
gs,2015,82797,0.067333768,0.055182433,0.518790667,0.089093317,-5,0.0076,0.0009,0.022878,193,0.109083491
gs,2014,78467,0.05657534,0.03633314,-0.520875017,0.374392534,-0.419365282,0.015,0.0011,0.018419,174,0.089093317
gs,2013,75716,0.137901871,0.07583228,-2,-0.098942011,-3,0.0174,0.0014,0.022807,160,0.374392534
gs,2012,70379,0.207512986,-0.090193392,,-0.170403194,-0.849980369,0.0296,0.001,0.015499,116,-0.098942011
gs,2011,77356,0.079430184,0.093927652,,0.104928656,1,0.015,0.0018,0.027089,129,-0.170403194
gs,2010,70714,0.249751216,,,0.699432836,7,0.0272,0.0016,-0.025999,155,0.104928656
gs,2009,75381,0.096883263,,,0.287688214,-1,0.0009,0.0192,0.001222,141,0.699432836
cvs,2021,69701,0.082025635,0.086192925,-0.103253526,0.033853701,0.465429849,0.0136,0.0036,-0.034046,83,0.287688214
cvs,2020,64170,0.127699536,0.096117384,-0.826211398,-0.124800214,-0.481819026,0.0229,0.0216,0.022889,64,0.033853701
cvs,2019,58543,0.081529455,0.553070699,23,-0.085162871,0.931064254,0.0191,0.0179,0.029189,62,-0.124800214
cvs,2018,37695,0.046735465,0.023375143,-3,-0.164349669,-1,0.0211,0.01,0.022557,71,-0.085162871
cvs,2017,36834,0.089957748,-0.009918555,-0.504555129,-0.085108338,-0.109126567,0.0207,0.0039,0.016675,78,-0.164349669
cvs,2016,37203,0.045318424,-0.020019493,-31,0.285534052,0.011600071,0.0073,0.0013,0.027064,93,-0.085108338
cvs,2015,37963,0.094992375,0.00065897,-0.912939672,0.320510233,0.210201463,0.0076,0.0009,0.022878,101,0.285534052
cvs,2014,37938,0.086931414,0.007569118,-2,0.316834926,1,0.015,0.0011,0.018419,79,0.320510233
cvs,2013,37653,0.039906471,-0.010459646,-2,0.261803456,2,0.0174,0.0014,0.022807,60,0.316834926
cvs,2012,38051,0.059092522,0.009310345,,0.107170326,-1,0.0296,0.001,0.015499,45,0.261803456
cvs,2011,37700,0.078938809,0.054014762,,0.034725083,-5,0.015,0.0018,0.027089,36,0.107170326
cvs,2010,35768,0.109257588,,,-0.938481998,-0.230886818,0.0272,0.0016,-0.025999,32,0.034725083
cvs,2009,20647,0.073947663,,,0.213490186,0.095305079,0.0009,0.0192,0.001222,31,-0.938481998
cost,2022,18078,0.160407053,-0.033520449,-1,0.277579674,-0.020047076,0.0704,0.0008,0.056711,511,0.213490186
